ID,Sexo,Idade,TempTrab,FatDecCar,FatDecCarOut,FaseCarreira,CarreiraInvestimento,CarreiraInvestimentoOutro,PlanejCarreira01,PlanejCarreira02,PlanejCarreira03,PlanejCarreira04,PlanejCarreira05,PlanejCarreira06,PlanejCarreira07,PlanejCarreiraoutro,PalavraCarreira,PalavraCarreiraOutro,Mudança,MudançaVezes,EstadoCivil,EstadoCivilOutro,Filhos,QuantosFilhos,Renda,OrientaçãoSexual,OrientaçãoSexualOutro,Escolaridade,ÁreaCurso01,ÁreaCurso02,ÁreaCurso03,ÁreaCurso04,ÁreaCurso05,ÁreaCurso06,ÁreaCurso07,ÁreaCurso08,Curso,IdadeComeçouTrabalhar,Estado,ÁreaTrabalho,ÁreaTrabalhoOutro,Gestor,PensaCarreira,Empresa10anos,TrabalharTemporari,TrabalharTemporariVezes,FatTrabalharTemp01,FatTrabalharTemp02,FatTrabalharTemp03,FatTrabalharTemp04,FatTrabalharTemp05,FatTrabalharTemp06,FatTrabalharTemp07,FatTrabalharTemp08,AEO01,AEO02,AEO03,AEO04,AEO05,AEO06,ACSF01,ACSF02,ACSF03,ACSF04,ACSF05,ACSF06,ACSF07,ACSF08,ACSF09,ACSF10,ACSF11,ACSF12,ACSF13,ACP01,ACP02,ACP03,ACP04,ACP05,ACP06,ACP07,ACP08,ACP09,ACP10,ACP11,ACP12,ACP13,ACP14,PPC01,PPC02,PPC03,PPC04,PPC05,PPC06,PPC07,PPC08,PPC09,PPC10,PPC11,PPC12,PPC13,PPC14,PPC15,PPC16,PPC17,PPC18,PPC19,EEC01,EEC02,EEC03,EEC04,EEC05,EEC06,EEC07,EEC08,EEC09
1,1,38,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,4,5,4,4,4.39272727272727,3.84057971014493,3.25641025641026,3.34657039711191,3.52536231884058,4.10545454545455,3.04029304029304,4.27007299270073,3.3978102189781,2.61594202898551,3.13503649635036,2.8974358974359,2.90217391304348,4.10989010989011,4.37686567164179,3.41044776119403,4.16974169741697,4.31111111111111,4.24719101123596,3.46666666666667,3.7970479704797,3.23791821561338,3.43984962406015,3.85393258426966,4.11152416356877,3.84328358208955,3.93609022556391,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
8,1,38,20,1, ,2,3, ,1, , , , , , , ,2, , , ,1, ,2,2,2,1, ,4, , , , , , , , , ,16,1, , , , , , , , , , , , , , , ,3,5,4,5,5,4,5,5,5,5,5,5,1,5,1,5,5,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,2,3,5,5,5,5,5,1,5,1,5,5,1,5,1,5,5,5,5,5,4,4,5,1,4
27,1,38.6643109540636,6,3, ,1,3, , , , , , ,1, , ,4, , , ,1, ,1, ,2,1, ,4, , , , , , , , , ,23, , , , , , , , , , , , , , , , ,3,3,3,1,3,3,4.39272727272727,5,5,5,5,5,1,5,5,5,5,3,1,1,5,3,4,5,5,3,5,5,3,5,5,3,5,5,5,5,3,4,4,5,3,2,3,3,3,1,2,3,1,5,3,1,1,1,5,1,3,3,5,2,2
1,2,38.6643109540636,10,5, ,2,3, , , ,1, , , , , ,3, , , ,1, ,1, ,2, , ,4, ,1, , , , , , ,Educação Física,16,1, , , , , , , , , , , , , , , ,4,3,5,4,4,5,4.39272727272727,3,1,4,1,4.10545454545455,3.04029304029304,3,5,1,3,4,1,2,4.37686567164179,3,3,1,5,1,3,3.23791821561338,3.43984962406015,3.85393258426966,1,3.84328358208955,3.93609022556391,5,5,5,4,4,3,5,3,3,5,5,3,1,1,3,5,5,3,4,3,2,4,1,3,4,2,2,5
45,2,38.6643109540636,18.0271739130435, , , , , ,1, ,1, , , , , ,3, , , ,4, ,2,2, ,1, ,4, ,1, , , , , , , ,11, , , , , , , , , , , , , , , , ,3.97931034482759,5,5,4,4,3,5,5,1,5,1,5,5,5,5,1,1,1,5,5,5,1,5,5,5,5,5,1,1,3.85393258426966,5,1,5,5,5,5,5,1,1,5,5,5,5,2,5,4,5,5,1,5,5,5,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
31,2,38.6643109540636,13,3, ,1,3, , ,1,1, ,1, , , ,1, , , ,1, , , ,2,1, ,4, , , , , , , , ,Educação Física,14,1, , , , , , , , , , , , , , , ,3,5,4,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,1,1,1,5,5,5,1,5,5,3,1,4,3,4,1,5,4,3,2,1,5,1,5,3,2,4,5,5,5,2,5,4,3,1,2,5,4
58,1,38.6643109540636,38,3, ,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,4,4,5,5,3,3,4,4,4,4,4,3,3,3,3,4,5,3,4,4,4,3,4,3,4,4,4,4,3,5,3,4,3,4,4,5,5,4,4,3,4,2,3,1,4,4,4,2,4,4,4,4,4,4,4,4,4
13,1,38.6643109540636,15,5, ,2,1, , , , , , ,1, , ,1, , , ,4, ,2,1,2,1, ,4, , , , , , , , , ,16,1, , , , , , , , , , , , , , , ,5,5,4,4,2,4,5,5,1,5,5,5,1,5,1,1,1,1,1,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,3,5,3,5,4,5,4,5,1,3,5,5,5,3,3,5,3,3,5,5,5,5,3,5,5,5,5
1,1,40,18.0271739130435, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,3,5,5,2,2,3,1,1,3,3,1,5,3,1,1,1,1,5,5,4,5,5,4,3.46666666666667,4,3,4,4,5,4,3,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
1,1,40,18.0271739130435, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,4,5,2,4,5,4,3,4,4,4,3,4,2,4,3,3,4,4,4,3,2,3,3,3.46666666666667,1,1,1,1,5,1,5,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
1,1,40,18.0271739130435,3, ,2,2, , , , , , ,1,1,Busquei concursos públicos em minha área.,4, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,5,4,4,5,1,1,1,1,2,1,1,5,5,5,5,5,4,4,5,5,5,5,5,1,3,5,5,5,5,5,5,5,2,5,1,5,3,5,2,5,4,3,1,4,5,4,5,5,5,5,5,5,5,5,3,1,3,1
1,2,40,18.0271739130435, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,4,5,4,4,5,4,4,3,4,4,5,4,3,3,3,1,1,5,3,4,4,4,4,4,4,4,2,3,3,4,4,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
1,1,40,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,2,4,2,5,4.39272727272727,3.84057971014493,3.25641025641026,3.34657039711191,3.52536231884058,4.10545454545455,3.04029304029304,4.27007299270073,3.3978102189781,2.61594202898551,3.13503649635036,2.8974358974359,2.90217391304348,4.10989010989011,4.37686567164179,3.41044776119403,4.16974169741697,4.31111111111111,4.24719101123596,3.46666666666667,3.7970479704797,3.23791821561338,3.43984962406015,3.85393258426966,4.11152416356877,3.84328358208955,3.93609022556391,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
1,2,41,18.0271739130435, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,4,5,5,4,5,4,5,5,5,5,5,5,4,2,3,5,4,4.10989010989011,4.37686567164179,3.41044776119403,4.16974169741697,4.31111111111111,4.24719101123596,3.46666666666667,3.7970479704797,3.23791821561338,3.43984962406015,3.85393258426966,4.11152416356877,3.84328358208955,3.93609022556391,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
1,1,41,18.0271739130435, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,4,2,4,2,1,1,1,1,1,2,1,1,5,5,5,5,5,5,1,1,1,1,1,3.46666666666667,5,5,1,5,1,1,1,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
45,2,41,20,1, ,2,6, , , ,1, , , , , ,1, , , ,2, ,2,1,3,1, ,5, , , , , , , , ,Educação Física,18,1, , , , , , , , , , , , , , , ,5,4,3,5,5,5,5,1,1,1,1,2,5,5,1,5,1,1,1,5,5,5,5,5,5,5,5,5,1,1,5,5,1,5,5,5,2,5,3,4,5,3,5,4,5,1,5,5,1,5,5,5,5,5,5,5,5,2,5,5,2
1,1,42,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,5,5,4,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,3.46666666666667,5,5,5,5,5,5,5,5,5,5,2,4,5,4,2,5,5,4,5,1,5,2,1,5,4,5,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
1,2,43,18.0271739130435, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.97931034482759,4.09310344827586,3.7923875432526,4.27681660899654,4.04895104895105,4.15916955017301,4.39272727272727,3.84057971014493,3.25641025641026,3.34657039711191,3.52536231884058,4.10545454545455,3.04029304029304,4.27007299270073,3.3978102189781,2.61594202898551,3.13503649635036,2.8974358974359,2.90217391304348,4.10989010989011,4.37686567164179,3.41044776119403,4.16974169741697,4.31111111111111,4.24719101123596,3.46666666666667,3.7970479704797,3.23791821561338,3.43984962406015,3.85393258426966,4.11152416356877,3.84328358208955,3.93609022556391,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
1,2,43,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,4,5,4,4,5,5,5,5,5,5,5,5,4,4,4,3,4,5,5,4,5,5,5,4,5,4,4,4,3,4,4,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
1,2,44,28,3, ,2,6, , , , ,1, , , , ,2, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,4,5,4,4,5,5,5,5,5,5,5,5,3,3,4,3,3,5,5,4,4,4,5,5,4,4,4,4,5,5,5,5,2,4,3,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,5,5,5,4,5,4,4,4,5
1,2,45,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.97931034482759,4.09310344827586,3.7923875432526,4.27681660899654,4.04895104895105,4.15916955017301,4.39272727272727,3.84057971014493,3.25641025641026,3.34657039711191,3.52536231884058,4.10545454545455,3.04029304029304,4.27007299270073,3.3978102189781,2.61594202898551,3.13503649635036,2.8974358974359,2.90217391304348,4.10989010989011,4.37686567164179,3.41044776119403,4.16974169741697,4.31111111111111,4.24719101123596,3.46666666666667,3.7970479704797,3.23791821561338,3.43984962406015,3.85393258426966,4.11152416356877,3.84328358208955,3.93609022556391,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
1,2,45,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5,5,4,4,5,5,3,5,5,5,5,5,5,5,2,3,3,3,4.10989010989011,4.37686567164179,3.41044776119403,4.16974169741697,4.31111111111111,4.24719101123596,3.46666666666667,3.7970479704797,3.23791821561338,3.43984962406015,3.85393258426966,4.11152416356877,3.84328358208955,3.93609022556391,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
1,1,46,18.0271739130435, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,5,5,4,4,4.39272727272727,3.84057971014493,3.25641025641026,3.34657039711191,3.52536231884058,4.10545454545455,3.04029304029304,4.27007299270073,3.3978102189781,2.61594202898551,3.13503649635036,2.8974358974359,2.90217391304348,4.10989010989011,4.37686567164179,3.41044776119403,4.16974169741697,4.31111111111111,4.24719101123596,3.46666666666667,3.7970479704797,3.23791821561338,3.43984962406015,3.85393258426966,4.11152416356877,3.84328358208955,3.93609022556391,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
1,1,47,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,4,4,5,4,3,4,3,3,3,3,1,4,4,2,2,4,4,4.10989010989011,4.37686567164179,3.41044776119403,4.16974169741697,4.31111111111111,4.24719101123596,3.46666666666667,3.7970479704797,3.23791821561338,3.43984962406015,3.85393258426966,4.11152416356877,3.84328358208955,3.93609022556391,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
1,1,48,18.0271739130435, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,4,4,4,2,5,3,5,4,4,4,5,1,1,1,3,1,1,5,5,5,5,5,5,3.46666666666667,5,3,5,5,5,5,5,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
1,2,49,18.0271739130435, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,3,1,5,5,4.39272727272727,3.84057971014493,3.25641025641026,3.34657039711191,3.52536231884058,4.10545454545455,3.04029304029304,4.27007299270073,3.3978102189781,2.61594202898551,3.13503649635036,2.8974358974359,2.90217391304348,4.10989010989011,4.37686567164179,3.41044776119403,4.16974169741697,4.31111111111111,4.24719101123596,3.46666666666667,3.7970479704797,3.23791821561338,3.43984962406015,3.85393258426966,4.11152416356877,3.84328358208955,3.93609022556391,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
1,2,49,18.0271739130435, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,4,1,5,4,5,4,1,4,3,4,1,5,2,3,4,4,4,4,5,3,4,5,5,3.46666666666667,4,2,5,5,5,5,2,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
42,2,51,18.0271739130435, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2,1,1,2,5,5,5,3.25641025641026,5,1,5,1,5,1,5,5,5,5,5,5,1,1,5,5,5,5,1,5,1,5,5,1,2,5,3,4,1,1,5,1,5,3,5,1,1,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
1,1,53,18.0271739130435,5, ,3,7, , , , , , ,1, , ,9, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,4,3,4,5,5,1,1,1,1,2,1,1,5,5,5,5,5,3,5,5,1,5,5,3.46666666666667,1,3,1,5,3,3,1,5,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,4,1,2,1,1,3,1,2,2,3
1,2,53,18.0271739130435, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,4.39272727272727,3.84057971014493,3.25641025641026,3.34657039711191,3.52536231884058,4.10545454545455,3.04029304029304,4.27007299270073,3.3978102189781,2.61594202898551,3.13503649635036,2.8974358974359,2.90217391304348,4.10989010989011,4.37686567164179,3.41044776119403,4.16974169741697,4.31111111111111,4.24719101123596,3.46666666666667,3.7970479704797,3.23791821561338,3.43984962406015,3.85393258426966,4.11152416356877,3.84328358208955,3.93609022556391,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
1,1,54,18.0271739130435,6, ,4,5, , , , , , ,1, , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,4,4,4,5,5,3,2,3,2,5,1,5,4,1,4,5,5,5,5,4,5,5,5,3.46666666666667,4,3,5,3,5,3,5,5,5,4,4,3,5,5,4,3,5,5,4,1,4,5,1,4,5,3,3,1,4,5,4,1,3,3,4
1,2,56,18.0271739130435,3, ,4,1, ,1,1,1,1, ,1, , ,9, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,3.46666666666667,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,56,18.0271739130435,5, ,5,3, , , ,1, , , , , ,9, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,3,5,4,5,4,4,1,3,3,4,1,4,4,4,5,5,5,3,5,4,4,4,5,4,5,4,4,4,5,4,5,1,5,5,5,4,5,5,5,4,5,5,4,3,2,5,5,5,2,5,5,5,5,5,5,5,5,5,5
1,1,57,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,5,4,5,5,5,3,3,5,5,4,5,5,3,2,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
1,1,57,18.0271739130435, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.97931034482759,4.09310344827586,3.7923875432526,4.27681660899654,4.04895104895105,4.15916955017301,4.39272727272727,3.84057971014493,3.25641025641026,3.34657039711191,3.52536231884058,4.10545454545455,3.04029304029304,4.27007299270073,3.3978102189781,2.61594202898551,3.13503649635036,2.8974358974359,2.90217391304348,4.10989010989011,4.37686567164179,3.41044776119403,4.16974169741697,4.31111111111111,4.24719101123596,3.46666666666667,3.7970479704797,3.23791821561338,3.43984962406015,3.85393258426966,4.11152416356877,3.84328358208955,3.93609022556391,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
1,1,57,18.0271739130435, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,5,5,5,5,5,5,1,4,3,5,4,4,4,4,3,3,4,4,5,4,5,5,4,4,4,4,5,5,4,4,3,4.12692307692308,4.32818532818533,4.13178294573643,3.7109375,3.94117647058824,4.03846153846154,4.27027027027027,4.15891472868217,3.92248062015504,4.35521235521236,3.43190661478599,4.00387596899225,3.20769230769231,3.8715953307393,4.03100775193798,2.77131782945736,4.15830115830116,4.01158301158301,4.05019305019305,3.95061728395062,3.99601593625498,4.17391304347826,3.97637795275591,4.05905511811024,3.43478260869565,3.62549800796813,3.4703557312253,3.78346456692913
1,2,58,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,4,5,5,5,5,5,5,5,5,5,3,5,1,1,5,3,1,5,5,5,5,5,5,5,5,3,3,5,5,3,5,3,1,5,3,1,3,5,3,5,5,3,1,3,1,1,3,3,3,5,5,5,3,3,1,2,1,5,5
1,1,60,30,1, ,5,1, , , , , , ,1, , ,9, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.46666666666667,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,1,2,2,5,4,4,4,4,4,4,4,4,4
3,1,60,35,1, ,6,1, , , , , , ,1, , ,7, , , ,4, ,2,1,3,1, ,2, , , , , , , , , ,20,1, , , , , , , , , , , , , , , ,5,5,5,4,4,4,5,1,1,1,1,5,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,4,4,4,5,5,4,4,4,4,4,4,5,3,3,5,5,5,3,5,5,5,5
